iter	Passed	Remaining
787	2352	633
788	2356	630
789	2359	627
790	2362	624
791	2366	621
792	2369	618
793	2372	615
794	2375	612
795	2378	609
796	2381	606
797	2384	603
798	2387	600
799	2391	597
800	2394	594
801	2397	591
802	2400	588
803	2403	585
804	2406	583
805	2409	580
806	2413	577
807	2416	574
808	2419	571
809	2422	568
810	2426	565
811	2429	562
812	2432	559
813	2437	556
814	2440	554
815	2444	551
816	2447	548
817	2450	545
818	2454	542
819	2457	539
820	2460	536
821	2464	533
822	2467	530
823	2470	527
824	2474	524
825	2478	522
826	2481	519
827	2484	516
828	2488	513
829	2491	510
830	2494	507
831	2497	504
832	2500	501
833	2504	498
834	2507	495
835	2511	492
836	2514	489
837	2518	486
838	2521	483
839	2524	480
840	2527	477
841	2531	474
842	2535	472
843	2538	469
844	2541	466
845	2545	463
846	2548	460
847	2551	457
848	2554	454
849	2557	451
850	2560	448
851	2564	445
852	2567	442
853	2570	439
854	2574	436
855	2577	433
856	2581	430
857	2585	427
858	2588	424
859	2591	421
860	2594	418
861	2598	416
862	2602	413
863	2606	410
864	2609	407
865	2612	404
866	2616	401
867	2619	398
868	2622	395
869	2625	392
870	2628	389
871	2632	386
872	2635	383
873	2638	380
874	2641	377
875	2644	374
876	2648	371
877	2651	368
878	2654	365
879	2657	362
880	2661	359
881	2664	356
882	2667	353
883	2670	350
884	2674	347
885	2677	344
886	2680	341
887	2683	338
888	2687	335
889	2690	332
890	2693	329
891	2697	326
892	2700	323
893	2703	320
894	2707	317
895	2710	314
896	2713	311
897	2716	308
898	2720	305
899	2723	302
900	2727	299
901	2730	296
902	2733	293
903	2737	290
904	2740	287
905	2743	284
906	2746	281
907	2749	278
908	2753	275
909	2756	272
910	2759	269
911	2762	266
912	2766	263
913	2768	260
914	2772	257
915	2775	254
916	2778	251
917	2781	248
918	2785	245
919	2788	242
920	2791	239
921	2795	236
922	2798	233
923	2801	230
924	2805	227
925	2808	224
926	2811	221
927	2814	218
928	2818	215
929	2821	212
930	2824	209
931	2827	206
932	2830	203
933	2833	200
934	2836	197
935	2839	194
936	2842	191
937	2846	188
938	2849	185
939	2852	182
940	2855	179
941	2858	176
942	2861	172
943	2865	169
944	2867	166
945	2871	163
946	2874	160
947	2877	157
948	2880	154
949	2883	151
950	2886	148
951	2889	145
952	2893	142
953	2896	139
954	2900	136
955	2903	133
956	2906	130
957	2909	127
958	2913	124
959	2916	121
960	2919	118
961	2923	115
962	2925	112
963	2929	109
964	2932	106
965	2935	103
966	2938	100
967	2941	97
968	2944	94
969	2947	91
970	2951	88
971	2954	85
972	2958	82
973	2961	79
974	2964	76
975	2967	72
976	2971	69
977	2974	66
978	2977	63
979	2981	60
980	2984	57
981	2987	54
982	2990	51
983	2993	48
984	2997	45
985	3000	42
986	3004	39
987	3007	36
988	3010	33
989	3014	30
990	3017	27
991	3020	24
992	3023	21
993	3026	18
994	3029	15
995	3033	12
996	3036	9
997	3039	6
998	3043	3
999	3046	0
