iter	Logloss
0	0.6824296089
1	0.6717557548
2	0.6623198492
3	0.6529997749
4	0.6445612084
5	0.6371107993
6	0.6293642785
7	0.622484198
8	0.615766917
9	0.6089915438
10	0.6029693103
11	0.5966334844
12	0.5913790461
13	0.5866308994
14	0.5816842266
15	0.577477274
16	0.5730445442
17	0.5688470677
18	0.5652780119
19	0.561889413
20	0.5585864517
21	0.5554934937
22	0.5524603937
23	0.5494547801
24	0.5466932483
25	0.5442071104
26	0.5414980205
27	0.5386327819
28	0.536315918
29	0.533795113
30	0.5319267427
31	0.5299930407
32	0.5280287916
33	0.5260187515
34	0.5242640938
35	0.5222610577
36	0.5207394753
37	0.5191947032
38	0.5177311543
39	0.5161704907
40	0.5149756848
41	0.5136513926
42	0.5125477569
43	0.5115118073
44	0.5105300653
45	0.509394882
46	0.5083968366
47	0.5072716002
48	0.506420816
49	0.505499403
50	0.5045210747
51	0.5035452185
52	0.5027830736
53	0.5019839663
54	0.5011742646
55	0.5003363702
56	0.4994067171
57	0.4983541108
58	0.4976998516
59	0.4969232866
60	0.4962341838
61	0.4955757457
62	0.4948642183
63	0.4941533382
64	0.4935427512
65	0.4929969074
66	0.4921424741
67	0.4919575146
68	0.4914152905
69	0.4908427548
70	0.4903845203
71	0.4897253465
72	0.4892494547
73	0.4887049058
74	0.488257501
75	0.4877145118
76	0.487299096
77	0.4868440104
78	0.4863922796
79	0.4859846919
80	0.4854067708
81	0.4849271121
82	0.4845631084
83	0.4842154375
84	0.483840192
85	0.4831909651
86	0.4828428822
87	0.4824473603
88	0.4824175196
89	0.4820350934
90	0.4817336256
91	0.4813184453
92	0.4812629722
93	0.4810082372
94	0.4806163056
95	0.4805670125
96	0.4803648666
97	0.4801169003
98	0.4796255584
99	0.4793909821
100	0.4789741538
101	0.4785833405
102	0.4782093309
103	0.4776843815
104	0.4775980376
105	0.4773905652
106	0.4773397418
107	0.4771470132
108	0.4768659689
109	0.4765218295
110	0.4762793075
111	0.4759938489
112	0.4755816998
113	0.4751585148
114	0.4748877118
115	0.4745669976
116	0.47416353
117	0.4739744799
118	0.4737658597
119	0.4735938783
120	0.4731363501
121	0.4728408269
122	0.4725480406
123	0.4723432168
124	0.4721058742
125	0.4719449285
126	0.471721182
127	0.4713289855
128	0.4712958782
129	0.4711616832
130	0.4709784012
131	0.4706083057
132	0.4704043353
133	0.4701327376
134	0.4699162894
135	0.4697493403
136	0.4695429273
137	0.4695086134
138	0.4692025842
139	0.4690231868
140	0.4689122699
141	0.4687439671
142	0.4685795783
143	0.468320223
144	0.4680804084
145	0.4680671949
146	0.4677648443
147	0.4674523996
148	0.4671886889
149	0.4670705621
150	0.4669134716
151	0.4667254809
152	0.4665762773
153	0.4663809884
154	0.4661957935
155	0.4659624532
156	0.4658207245
157	0.4658141913
158	0.4655264079
159	0.4652074301
160	0.4650188509
161	0.4648710598
162	0.4647494015
163	0.46461606
164	0.4644193291
165	0.4642577948
166	0.4641859593
167	0.4639687166
168	0.4638467934
169	0.4636012108
170	0.4634790227
171	0.4634709004
172	0.4633540684
173	0.463151952
174	0.4628511022
175	0.4628408905
176	0.4628308847
177	0.4626608162
178	0.4624671164
179	0.462221004
180	0.4619841617
181	0.4618404319
182	0.4618295432
183	0.4614183652
184	0.4613254293
185	0.4611409407
186	0.4611405581
187	0.4607667252
188	0.4605732608
189	0.4605692879
190	0.4604315027
191	0.4602239125
192	0.4599865699
193	0.4597705337
194	0.4594276303
195	0.4591738371
196	0.4589666295
197	0.4588193976
198	0.4587916463
199	0.4587545956
200	0.4585593655
201	0.4582782035
202	0.4582734655
203	0.4581349446
204	0.4580322383
205	0.4579752643
206	0.4577755611
207	0.4575227096
208	0.4572867795
209	0.4572798344
210	0.4570437278
211	0.4570419032
212	0.456735256
213	0.4566474113
214	0.4566456455
215	0.4563644836
216	0.4562319072
217	0.4561689298
218	0.4559963598
219	0.4559961832
220	0.4558852958
221	0.4557525429
222	0.455612727
223	0.4554751184
224	0.4553826239
225	0.4552077291
226	0.4552086708
227	0.4549621464
228	0.4548865441
229	0.4546893717
230	0.4545894612
231	0.4544891681
232	0.4542845503
233	0.454210537
234	0.4540973542
235	0.4539879677
236	0.4539872614
237	0.4537317613
238	0.4535607216
239	0.453504807
240	0.4534401521
241	0.4532692007
242	0.4530637588
243	0.453061022
244	0.4529170567
245	0.4528404243
246	0.4526733869
247	0.4525768019
248	0.4523979342
249	0.4522056175
250	0.4522056469
251	0.4520922875
252	0.4518941734
253	0.4518059167
254	0.451672222
255	0.4516718689
256	0.4513522142
257	0.4511552772
258	0.4511534526
259	0.4510194048
260	0.4508692889
261	0.4508151695
262	0.4507431869
263	0.4504546678
264	0.450290279
265	0.4502209743
266	0.4501009935
267	0.4500562618
268	0.4499627962
269	0.4498849573
270	0.4496546481
271	0.4494081532
272	0.4494069466
273	0.4493030338
274	0.449302563
275	0.4492265192
276	0.4491331713
277	0.4491324944
278	0.4491096283
279	0.4488954461
280	0.4487579552
281	0.4485380344
282	0.4483892722
283	0.4482794443
284	0.4482086976
285	0.4481473682
286	0.44806073
287	0.4477954007
288	0.4477217112
289	0.4475621487
290	0.4474695071
291	0.4474700369
292	0.4472794859
293	0.4472472026
294	0.4469945277
295	0.4469359351
296	0.446821428
297	0.4467018591
298	0.4465602187
299	0.446440385
300	0.4463898853
301	0.446220729
302	0.4461300886
303	0.4461304417
304	0.4459802376
305	0.4458521049
306	0.4456329493
307	0.4455379828
308	0.4453533471
309	0.4451368989
310	0.4449906087
311	0.4447680099
312	0.4446425847
313	0.4445718087
314	0.4444747528
315	0.4443869963
316	0.4442544788
317	0.4441346451
318	0.4440705493
319	0.4439681374
320	0.4437580752
321	0.4436101665
322	0.4436041631
323	0.4435566651
324	0.4433809168
325	0.4432221195
326	0.4432228846
327	0.4431816256
328	0.4431205904
329	0.4428996985
330	0.4427816893
331	0.4427114135
332	0.4425454944
333	0.4425427576
334	0.4424631529
335	0.4422961155
336	0.4421528565
337	0.4421424093
338	0.4421429096
339	0.4420824336
340	0.4419414995
341	0.4418449144
342	0.4417307899
343	0.4416602198
344	0.4414426239
345	0.4412572818
346	0.4410944233
347	0.4408534021
348	0.4405568196
349	0.4404661791
350	0.4404165034
351	0.4403117961
352	0.4401063248
353	0.4400198043
354	0.4399445846
355	0.4398514721
356	0.4396783135
357	0.4394046853
358	0.4393460928
359	0.4392951811
360	0.4391468898
361	0.4390601339
362	0.4389099886
363	0.4387640811
364	0.4385413645
365	0.4384281817
366	0.4383513727
367	0.43830979
368	0.4381817751
369	0.4380755668
370	0.4379442853
371	0.4377715682
372	0.4375947605
373	0.437393056
374	0.437243617
375	0.4371149841
376	0.4369570402
377	0.4368109266
378	0.4368108383
379	0.4366720819
380	0.43650837
381	0.4363821797
382	0.4361510465
383	0.4360073755
384	0.4358259769
385	0.4357482263
386	0.4355704474
387	0.4354604134
388	0.4353040881
389	0.4352490564
390	0.4351211003
391	0.4350306365
392	0.434910067
393	0.4348076551
394	0.434808126
395	0.4346481515
396	0.4344743455
397	0.4344274655
398	0.4342654604
399	0.4341804409
400	0.4341058097
401	0.4339874179
402	0.4337839772
403	0.4336908648
404	0.4335410726
405	0.4334474304
406	0.4333055546
407	0.4331663862
408	0.4330631208
409	0.4329128872
410	0.4328001753
411	0.4326872867
412	0.4324965886
413	0.4324043002
414	0.4322688692
415	0.4321289651
416	0.4319758475
417	0.4318202579
418	0.4317249677
419	0.4315661115
420	0.4314449535
421	0.4313154965
422	0.4311681764
423	0.4310575833
424	0.4309290387
425	0.430857468
426	0.4307285702
427	0.4305939633
428	0.4305104152
429	0.4304371082
430	0.4303222185
431	0.4302142446
432	0.4300196031
433	0.4298506528
434	0.4297233442
435	0.4296166062
436	0.4294834707
437	0.4294003052
438	0.4293583692
439	0.4292713191
440	0.4291466591
441	0.4290595501
442	0.4289434244
443	0.4288205006
444	0.4287159404
445	0.4285925163
446	0.4284721529
447	0.4283206539
448	0.4282318674
449	0.4281570008
450	0.4280468197
451	0.4279562381
452	0.4278363749
453	0.4276779602
454	0.427551917
455	0.4275108345
456	0.4273586292
457	0.4272339397
458	0.4271098388
459	0.4269747021
460	0.4268170819
461	0.4267103734
462	0.4266360659
463	0.426502695
464	0.4263874521
465	0.4262460471
466	0.4261550535
467	0.4260421944
468	0.4259162101
469	0.4258298662
470	0.4256933464
471	0.4255885213
472	0.4254652739
473	0.4253344632
474	0.4251862602
475	0.4250565384
476	0.4249253158
477	0.4248179893
478	0.4246868844
479	0.42456296
480	0.4244095776
481	0.4242447179
482	0.424128033
483	0.4239903361
484	0.4238951342
485	0.4237896322
486	0.423620476
487	0.4235642671
488	0.4234473763
489	0.4233476718
490	0.4232661248
491	0.4231661849
492	0.4230556506
493	0.4229205728
494	0.4228200443
495	0.4227095395
496	0.4226111299
497	0.42250707
498	0.4224002437
499	0.4222254371
500	0.4220941262
501	0.4219452463
502	0.4218473959
503	0.4217815344
504	0.4216986337
505	0.4215427498
506	0.4214784775
507	0.4213385734
508	0.421212589
509	0.4210986705
510	0.4209660058
511	0.420861063
512	0.4207754843
513	0.4206441734
514	0.4205181596
515	0.4204447056
516	0.4203222527
517	0.4202143964
518	0.4200195195
519	0.4199257302
520	0.4198383269
521	0.4197621948
522	0.4196699652
523	0.4196035446
524	0.419505135
525	0.4194330052
526	0.4193267969
527	0.4192382459
528	0.4191434855
529	0.4190749754
530	0.4189785081
531	0.4188810402
532	0.4187640316
533	0.4186597362
534	0.4185948165
535	0.4185356353
536	0.4183437896
537	0.4182790758
538	0.4182055923
539	0.4181394954
540	0.4180482958
541	0.417959892
542	0.4178681921
543	0.417737146
544	0.4176085719
545	0.4174728173
546	0.4174028947
547	0.4173227014
548	0.41720275
549	0.4171090195
550	0.4170127287
551	0.416891041
552	0.4167996354
553	0.416720325
554	0.416629096
555	0.4165197389
556	0.4164607049
557	0.4163397529
558	0.4162710957
559	0.4161891956
560	0.416078573
561	0.4159807814
562	0.415900029
563	0.4157506488
564	0.4156902023
565	0.4156093027
566	0.4155195157
567	0.4154302878
568	0.4153726664
569	0.4152499487
570	0.4151539228
571	0.4150124001
572	0.4148474227
573	0.4147666703
574	0.4146855059
575	0.4145483092
576	0.4144642314
577	0.4143784467
578	0.4142716499
579	0.4142144993
580	0.4141059368
581	0.4140140309
582	0.413936192
583	0.4138461401
584	0.4137661823
585	0.4136841644
586	0.4135579152
587	0.4134619776
588	0.4134080054
589	0.413329107
590	0.4132633927
591	0.4131916749
592	0.4130898221
593	0.4130210766
594	0.4129477991
595	0.4128567467
596	0.41277158
597	0.4126903567
598	0.4125972442
599	0.4124987758
600	0.4123836506
601	0.4123285012
602	0.4122701146
603	0.4121982497
604	0.412130446
605	0.4120614651
606	0.4119857744
607	0.4118911611
608	0.4117738288
609	0.4117099685
610	0.4116641185
611	0.4115787753
612	0.4114803951
613	0.4114206842
614	0.4113533807
615	0.41125812
616	0.4111927294
617	0.4111376388
618	0.4110626839
619	0.4110082702
620	0.4109213966
621	0.4108500614
622	0.4107502098
623	0.4106698988
624	0.4105675752
625	0.410471667
626	0.4103929746
627	0.4103176959
628	0.4102154017
629	0.410131677
630	0.4100102247
631	0.409946541
632	0.4098803852
633	0.4098070194
634	0.409720499
635	0.4096654379
636	0.4096165862
637	0.4095197657
638	0.4094523151
639	0.4093895142
640	0.4092925172
641	0.4091727423
642	0.4090517314
643	0.4089583247
644	0.4088817218
645	0.408807532
646	0.4087618586
647	0.4086636255
648	0.4085334623
649	0.4084613326
650	0.4084102443
651	0.40829559
652	0.4081907944
653	0.4081033028
654	0.4079639873
655	0.4078893266
656	0.4078261432
657	0.4077739955
658	0.4076875928
659	0.4076020729
660	0.4075512789
661	0.4074618451
662	0.4073429825
663	0.4072294465
664	0.4071859509
665	0.4071229146
666	0.4070710023
667	0.407010644
668	0.4069681195
669	0.4068581738
670	0.4067812472
671	0.4067336315
672	0.4066464342
673	0.4065899017
674	0.4065080898
675	0.4064669191
676	0.4063444956
677	0.4063016768
678	0.4062567686
679	0.4062058275
680	0.406138112
681	0.4060238992
682	0.4059565957
683	0.4059082149
684	0.4058641895
685	0.4058237545
686	0.4057573044
687	0.4056583062
688	0.4056145163
689	0.4055686075
690	0.4054793208
691	0.4053889158
692	0.4052734669
693	0.4052312956
694	0.4051654635
695	0.4051038104
696	0.4050214983
697	0.4049533414
698	0.4048968382
699	0.4047674696
700	0.404708877
701	0.4046669705
702	0.4046315089
703	0.4045456654
704	0.4044418409
705	0.4043692991
706	0.4043233314
707	0.4042273644
708	0.4041630921
709	0.404085518
710	0.4040034413
711	0.4039353432
712	0.4038052977
713	0.403723427
714	0.4036673948
715	0.4035935287
716	0.4035411456
717	0.4034572737
718	0.4033975629
719	0.4032923552
720	0.4032191071
721	0.4031809675
722	0.4031277898
723	0.4030289094
724	0.4029926238
725	0.4029595164
726	0.4028728783
727	0.4027991299
728	0.4027492777
729	0.4027076655
730	0.4026084613
731	0.4025766783
732	0.4025062554
733	0.402430241
734	0.402378005
735	0.4022790363
736	0.4022090548
737	0.4021495205
738	0.4020740358
739	0.4020236539
740	0.4019839545
741	0.4019541727
742	0.4018786586
743	0.4018394595
744	0.4017517325
745	0.4016681844
746	0.4015897863
747	0.4015488804
748	0.4015171562
749	0.4014380224
750	0.4013682764
751	0.4013213964
752	0.4012295788
753	0.401181816
754	0.4011453244
755	0.4011135414
756	0.400998328
757	0.4009290528
758	0.4008375589
759	0.4007716386
